from	to
10130636	9375102
6225526	11938023
6225526	4001592
7547385	4592059
7547385	1422451
11956484	4238408
7972788	2166823
9530105	9530105
11578327	2901002
4872347	12026290
11608340	11492024
12369529	11903814
12390973	11608340
11069741	8103056
5092352	2901002
5092352	9698684
9538252	4001592
12289180	10576723
12289180	11897007
666130	9103445
7498328	11363434
12289180	9563006
12275675	1428102
12462059	12017165
11956484	4238408
11956484	7964527
7533983	10693860
7533983	10908375
7533983	11938023
12313190	2535611
12007010	12007010
12007010	12413110
12447125	9081267
11518140	10867430
8053370	10197418
5699604	9325592
5699604	7805917
11989075	8990534
11989075	12377933
12275675	11080708
12275675	8158497
12442832	11080708
11995602	4238408
12289180	10679867
11927597	11140418
11927597	12382828
8795734	2901002
9712631	2509344
1761521	1838257
1761521	4238408
7574199	2901002
9413910	10801094
9413910	11938023
11500955	11500955
11500955	10443817
11500955	10189214
11500955	8380272
12426448	9177877
11939595	11610186
7547586	6031995
11413949	1397946
4694757	606496
4694757	6564620
4694757	1838257
4694757	10913001
12314453	12305476
12314453	3714404
3277133	2901002
3277133	3444923
4430536	9908952
1497720	9840637
1497720	10968232
5231306	7964527
11079456	7932273
8568110	2901002
5868293	5868293
5868293	1435167
5868293	12377933
1497720	9153298
1497720	5417511
1497720	12358506
9976350	9976350
9976350	12115549
5687636	2110417
5687636	2901002
11003573	10244126
11003573	11796003
11003573	12377205
10885275	10885275
10885275	2901002
10885275	4185364
9281012	2901002
5491428	10913001
11363434	1212401
11633491	9698684
5391663	8973620
5391663	2901002
5391663	2901002
11511865	8205554
11511865	7932273
11463582	2901002
11463582	11945002
12352987	6031995
12352987	6520041
10365747	11897007
8797830	7525328
10313194	10189214
10313194	8773779
10313194	7508700
5313508	8205554
12282966	9565737
12282966	11585842
12282966	3633891
12261833	12023442
5703997	9375102
5703997	8300135
12225102	11884237
10332687	12340241
10332687	4909087
10332687	6858244
10332687	5375464
7932273	11205149
7932273	9375102
7932273	11566849
7932273	11221013
7932273	10908375
6428488	2901002
6428488	12289098
12026054	5703092
12331436	11503139
7930571	6881240
7930571	8034914
10262731	2901002
578204	2901002
578204	4876561
11322052	11985376
11322052	7964527
11964370	11301900
11964370	8143615
11964370	5335066
8201945	9544516
1692468	8084805
10885275	2901002
11776529	8708364
11776529	7964527
7149485	2901002
10537172	7964527
11227308	7388477
11227308	11227308
9869695	1353723
9869695	2901002
12134565	10818128
12134565	9081267
12281253	11842941
11322052	10828043
6043544	3348264
6043544	4238408
11956484	3185459
3270244	2901002
9834122	4238408
9834122	8708364
10896502	953482
12292032	6359622
12277274	10551138
12277274	12081954
12277274	10551138
12287234	4492008
12287234	7431860
10719369	7380779
2293224	8188139
6043544	2592393
12288754	3633891
12288754	9184784
11744685	7013419
9161067	5120049
9161067	12276720
3130747	2901002
989185	4098013
10580461	1428102
5868293	4001592
5868293	2411802
5868293	7964527
3431964	8305660
3431964	6925185
3431964	4909087
5868293	2901002
4876561	11232091
4876561	9284423
6043544	9375102
10081864	4669778
2526657	2411802
2526657	4590385
2526657	7273237
1243255	8208006
1243255	4238408
1243255	2535611
5868293	5811078
11246230	2700072
1497720	8538536
1497720	6893963
8820330	9377366
