from	to
10130636	9375102
6225526	4001592
7547385	4592059
7547385	1422451
11608340	11492024
12369529	11903814
12390973	11608340
11069741	8103056
5092352	9698684
12289180	10576723
12289180	11897007
12289180	9563006
12275675	1428102
12462059	12017165
11956484	7964527
12007010	12007010
12007010	12413110
12447125	9081267
11518140	10867430
11989075	8990534
11989075	12377933
12289180	10679867
9712631	2509344
1761521	1838257
11500955	11500955
11500955	10189214
11500955	8380272
12426448	9177877
11939595	11610186
7547586	6031995
11413949	1397946
4694757	606496
4694757	6564620
4694757	1838257
4694757	10913001
4430536	9908952
1497720	10968232
5231306	7964527
5868293	1435167
1497720	9153298
5687636	2110417
11003573	12377205
11363434	1212401
11633491	9698684
11511865	7932273
12352987	6520041
10365747	11897007
8797830	7525328
10313194	7508700
12282966	9565737
12282966	11585842
12282966	3633891
12261833	12023442
5703997	8300135
10332687	4909087
7932273	11221013
12026054	5703092
12331436	11503139
7930571	6881240
7930571	8034914
8201945	9544516
11776529	8708364
11776529	7964527
12134565	9081267
12281253	11842941
11956484	3185459
9834122	8708364
10896502	953482
10719369	7380779
2293224	8188139
6043544	2592393
12288754	9184784
11744685	7013419
9161067	5120049
9161067	12276720
989185	4098013
10580461	1428102
5868293	4001592
5868293	2411802
5868293	7964527
3431964	4909087
4876561	9284423
6043544	9375102
10081864	4669778
5868293	5811078
11246230	2700072
1497720	8538536
8820330	9377366
12249994	11884237
1497720	2411802
1497720	7340317
1497720	7340317
9578831	9728163
12242218	8805315
3284746	11051292
12229568	9284423
2293224	10189214
2293224	11884237
6903126	9284423
12224105	12023442
10636733	1838257
10636733	10418812
10896502	10189214
1928522	2538939
11841670	532312
11841670	1927583
3146365	11884237
1497720	11884237
1497720	2851685
1497720	9081267
1497720	9081267
10464003	2205969
10464003	2851685
11956484	11643870
9408112	9874393
8335171	9872839
12196221	5908433
11956484	4939844
1497720	2205969
5152914	7964527
11822295	3944322
11822295	11884237
12140563	6098068
12177976	11897007
11058050	5828160
490507	10231630
7758804	4323
593450	1011724
12161849	3257992
6238676	2538939
11956484	3185459
12156660	7964527
5443574	5996972
8684435	3444175
11956484	2851685
946137	2970853
12134565	3866678
4526288	2538939
4559989	1755108
6083404	9728885
946137	3866678
946137	10286430
11529732	9375102
11198558	3187537
6800041	10315062
11853632	8300135
11135962	12076271
11135962	1999585
10458370	11884237
11463582	11832127
11911984	6925185
3130747	3130747
10157833	7093741
11753555	6477565
10552640	1453822
3058703	9698684
10450242	11063448
10552640	7964527
11833086	2538939
6210239	6210239
9389773	11232091
11948485	67579
11783776	7964527
10694466	9299259
10537237	11051292
12005616	5266708
9378830	6517513
12024595	4396243
12018686	10275246
12018686	7136195
3767239	7964527
9431573	11884237
9378830	1651543
9837354	9209546
11970440	11610186
11970440	4674445
11053294	3944322
