from,to
10693860,10908375
11938023,10908375
10801094,11938023
3444923,2901002
10885275,2901002
4185364,2901002
8973620,2901002
8205554,7932273
11945002,2901002
6031995,6520041
10189214,7508700
8773779,7508700
9375102,8300135
12340241,4909087
6858244,4909087
5375464,4909087
11205149,11221013
9375102,11221013
11566849,11221013
10908375,11221013
4876561,2901002
11985376,7964527
11227308,7388477
1353723,2901002
10818128,9081267
3348264,4238408
8305660,4909087
6925185,4909087
11232091,9284423
2411802,7273237
4590385,7273237
8208006,2535611
4238408,2535611
8973620,9728163
6901690,11884237
10189214,9284423
532312,9284423
10189214,11884237
10189214,2851685
10189214,9081267
4238408,9081267
12096012,11643870
11884237,11643870
11897007,11643870
2411802,4238408
4001592,7964527
7505395,7964527
10418812,3944322
10418812,11884237
9020163,4333359
9227188,4333359
11219825,4333359
10128550,2901002
3279716,2901002
3944322,2538939
8468264,7964527
11884237,7964527
9302488,3185459
12159691,3185459
7964527,3185459
5152563,4238408
10189214,4238408
4333359,4238408
9302488,3444175
5966042,3444175
6417219,2901002
6668254,2901002
11403935,2901002
7932273,2901002
5470573,9840637
11897007,9840637
5470573,2538939
11897007,2538939
4286590,2901002
8300135,2901002
2851685,2901002
7964527,11884237
11037648,2336654
7697652,2901002
9389773,2901002
1792467,9698684
554436,9302488
3483203,9463227
100297,9463227
12015722,9463227
3483203,7964527
100297,7964527
12015722,7964527
11884237,4238408
2851685,11232091
10426037,10418812
7204688,67579
11932640,67579
943978,7964527
2796875,9299259
1966723,9299259
11872364,11232091
10722934,11232091
4333359,2336654
3767239,7964527
6925185,11610186
6925185,4674445
3161575,3185459
7420056,532312
8123710,532312
7031759,9840637
3704368,2901002
11945002,2901002
11969592,8708364
10124054,2901002
4286590,9840637
3742686,9840637
1651543,9840637
11492024,2901002
2535611,7964527
10189214,2535611
7333883,7295157
6361531,7295157
11864134,6512253
10837503,2535611
9609447,2535611
7964527,2901002
4333359,10140310
10067043,3483203
7964527,3515631
11470719,3515631
6925185,2901002
10885502,2901002
2667536,2901002
7964527,3483203
2901002,3483203
11205149,2901002
7964527,2901002
9099959,2901002
9840637,2901002
10442615,1422451
8116223,7093741
11553043,7093741
10632473,7093741
1803908,2901002
6925185,6361531
3944322,2336654
3876609,11607986
5114164,11607986
11470719,7964527
2538939,7388477
7988497,4895877
6361531,11205149
11205149,10201580
7175713,10201580
3545273,10201580
11669446,10201580
6512253,11607986
6858244,4245112
1753932,4245112
11643825,4245112
8874696,11607986
11237863,9698684
7913251,9698684
6222977,2901002
8708364,2901002
1910242,704848
11747121,10201580
11426718,10201580
8353711,10201580
7664524,10201580
11747121,8320861
11426718,8320861
8353711,8320861
7664524,8320861
11747861,2901002
9716278,2901002
6361531,5776838
2336654,9840637
9081267,9840637
4238408,9840637
11730027,3545273
11607986,3545273
10942935,2901002
10942935,8708364
3228542,532312
3190076,9754169
4551984,9754169
10041823,9081267
11341077,2901002
10041823,2901002
11523400,8121719
10521959,10189214
3483203,10189214
6570888,7835267
8313460,7835267
10325516,3476346
8121719,10157759
8121719,7964527
7932273,9511702
7932273,2137255
11015427,11592102
2535611,4909087
7964527,4909087
10331864,4238408
7964527,4238408
9360135,4686625
4238408,9840637
11492024,785673
7535419,1240268
9840637,2901002
9840637,8123710
532312,2901002
10189214,7964527
