from,to,weight
11956484,4238408,6
11578327,2901002,1
11608340,11492024,1
12369529,11903814,1
9538252,4001592,1
12275675,1428102,1
7533983,10908375,1
7533983,11938023,2
12447125,9081267,1
12275675,11080708,2
12275675,8158497,2
12442832,11080708,2
11995602,4238408,2
11927597,11140418,2
11927597,12382828,2
1761521,4238408,1
9413910,11938023,2
11500955,10443817,2
12426448,9177877,2
7547586,6031995,1
12314453,3714404,1
4430536,9908952,1
1497720,9840637,1
8568110,2901002,1
5868293,1435167,2
5687636,2110417,1
11003573,11796003,1
11003573,12377205,2
5491428,10913001,1
11363434,1212401,1
11463582,2901002,2
10313194,7508700,2
5703997,8300135,3
10332687,4909087,3
10332687,6858244,2
7932273,11205149,2
7932273,11566849,1
7932273,11221013,5
7932273,10908375,1
6428488,12289098,1
10262731,2901002,1
1692468,8084805,1
12134565,10818128,1
12134565,9081267,1
11322052,10828043,1
6043544,3348264,1
6043544,4238408,2
9834122,4238408,1
10896502,953482,2
6043544,2592393,1
12288754,9184784,1
5868293,4001592,4
5868293,2411802,1
3431964,4909087,4
5868293,2901002,10
4876561,9284423,3
1243255,4238408,1
5868293,5811078,2
11246230,2700072,4
8820330,9377366,4
9578831,8973620,1
9578831,9728163,2
12229568,9284423,2
6903126,9284423,3
6903126,532312,1
10636733,1838257,1
8650115,2901002,1
10896502,10189214,1
11841670,532312,1
1497720,2851685,1
1497720,4238408,3
10464003,2851685,2
11956484,12096012,1
11956484,11643870,2
9408112,9874393,1
12196221,5908433,1
2119941,4238408,1
10491430,6361531,2
11822295,3944322,3
11822295,11884237,1
11822295,10418812,1
12140563,6098068,1
1497720,4333359,2
11058050,5828160,1
9940344,2901002,1
5487719,7954504,3
11653862,8263801,2
6238676,3944322,1
1876739,8468264,2
7173956,12152061,1
10383617,7964527,2
10383617,2535611,3
11956484,5152563,1
11956484,4333359,3
5443574,5996972,2
11956484,2851685,2
10136912,4238408,2
11653862,2901002,2
11653862,8300135,3
4559989,1755108,3
6083404,9728885,1
10800593,2851685,1
11841670,2901002,1
946137,2901002,1
11853632,8300135,3
11135962,12076271,1
11135962,1999585,1
12063840,10397364,2
10443658,9840637,2
10443658,4238408,2
5212614,11037648,1
5212614,2336654,5
11911984,2198210,1
8266189,1453822,1
11753555,6477565,3
