from,Score1,to,Score2
10130636,0,9375102,0
6225526,2,11938023,2
6225526,2,4001592,2
7547385,0,4592059,0
7547385,0,1422451,0
11956484,0,4238408,2
7972788,1,2166823,0
9530105,1,9530105,1
11578327,0,2901002,1
4872347,1,12026290,0
11608340,0,11492024,1
12369529,-1,11903814,0
12390973,1,11608340,0
11069741,1,8103056,1
5092352,2,2901002,1
5092352,2,9698684,1
9538252,1,4001592,2
12289180,0,10576723,0
12289180,0,11897007,0
666130,0,9103445,-2
7498328,1,11363434,-1
12289180,0,9563006,0
12275675,0,1428102,1
12462059,0,12017165,0
11956484,0,4238408,2
11956484,0,7964527,0
7533983,0,10693860,0
7533983,0,10908375,1
7533983,0,11938023,2
12313190,2,2535611,1
12007010,0,12007010,0
12007010,0,12413110,0
12447125,0,9081267,1
11518140,1,10867430,1
8053370,1,10197418,0
5699604,6,9325592,0
5699604,6,7805917,4
11989075,0,8990534,0
11989075,0,12377933,0
12275675,0,11080708,2
12275675,0,8158497,2
12442832,0,11080708,2
11995602,0,4238408,2
12289180,0,10679867,0
11927597,-2,11140418,0
11927597,-2,12382828,0
8795734,1,2901002,1
9712631,0,2509344,0
1761521,1,1838257,1
1761521,1,4238408,2
7574199,1,2901002,1
9413910,0,10801094,0
9413910,0,11938023,2
11500955,0,11500955,0
11500955,0,10443817,1
11500955,0,10189214,0
11500955,0,8380272,0
12426448,0,9177877,2
11939595,0,11610186,0
7547586,0,6031995,1
11413949,1,1397946,1
4694757,2,606496,1
4694757,2,6564620,1
4694757,2,1838257,1
4694757,2,10913001,1
12314453,0,12305476,0
12314453,0,3714404,1
3277133,1,2901002,1
3277133,1,3444923,1
4430536,0,9908952,1
1497720,1,9840637,2
1497720,1,10968232,0
5231306,1,7964527,0
11079456,2,7932273,0
8568110,0,2901002,1
5868293,0,5868293,0
5868293,0,1435167,1
5868293,0,12377933,0
1497720,1,9153298,0
1497720,1,5417511,0
1497720,1,12358506,0
9976350,0,9976350,0
9976350,0,12115549,0
5687636,1,2110417,2
5687636,1,2901002,1
11003573,0,10244126,0
11003573,0,11796003,1
11003573,0,12377205,2
10885275,1,10885275,1
10885275,1,2901002,1
10885275,1,4185364,1
9281012,1,2901002,1
5491428,0,10913001,1
11363434,-1,1212401,0
11633491,1,9698684,1
5391663,4,8973620,1
5391663,4,2901002,1
5391663,4,2901002,1
11511865,2,8205554,0
11511865,2,7932273,0
11463582,0,2901002,1
11463582,0,11945002,0
12352987,1,6031995,1
12352987,1,6520041,0
10365747,0,11897007,0
8797830,1,7525328,1
10313194,0,10189214,0
10313194,0,8773779,0
10313194,0,7508700,2
5313508,0,8205554,0
12282966,0,9565737,0
12282966,0,11585842,0
12282966,0,3633891,0
12261833,2,12023442,0
5703997,0,9375102,0
5703997,0,8300135,3
12225102,2,11884237,0
10332687,2,12340241,2
10332687,2,4909087,5
10332687,2,6858244,4
10332687,2,5375464,0
7932273,0,11205149,2
7932273,0,9375102,0
7932273,0,11566849,1
7932273,0,11221013,5
7932273,0,10908375,1
6428488,1,2901002,1
6428488,1,12289098,2
12026054,0,5703092,0
12331436,0,11503139,0
7930571,0,6881240,0
7930571,0,8034914,0
10262731,0,2901002,1
578204,1,2901002,1
578204,1,4876561,0
11322052,2,11985376,0
11322052,2,7964527,0
11964370,1,11301900,0
11964370,1,8143615,-1
11964370,1,5335066,0
8201945,0,9544516,0
1692468,0,8084805,1
10885275,1,2901002,1
11776529,2,8708364,0
11776529,2,7964527,0
7149485,2,2901002,1
10537172,1,7964527,0
11227308,2,7388477,1
11227308,2,11227308,2
9869695,2,1353723,0
9869695,2,2901002,1
