UserId	PostId	PostTypeID
10130636	59230202	1
6225526	59223095	1
7547385	59218325	1
11956484	59218416	1
7972788	46801833	1
9530105	54487293	1
12417990	59213226	1
11578327	59212193	1
4872347	59199841	1
11608340	59199998	1
12369529	59183932	1
12390973	59176171	1
11058050	59175607	1
11069741	59169367	1
3967806	59171435	1
5092352	59137920	1
12401745	59169398	1
9538252	59165706	1
5966402	59161827	1
11828422	59156627	1
12289180	59150404	1
12289180	59146466	1
666130	59143275	1
7498328	59131701	1
12289180	59128789	1
12275675	59127614	1
12462059	59121247	1
10952764	59118418	1
11956484	59108736	1
7533983	59095487	1
12313190	59091946	1
12007010	59087639	1
1328569	59077478	1
12447125	59074800	1
11518140	59072826	1
8053370	59068033	1
5699604	47426089	1
11989075	58969204	1
12275675	59063841	1
12442832	59063220	1
11995602	59062216	1
4295825	59054012	1
12289180	59050928	1
11927597	59016071	1
8795734	59045845	1
9712631	58996391	1
1761521	59037852	1
7574199	59025864	1
9413910	59025289	1
11500955	59022574	1
12426448	59023708	1
11939595	59022199	1
7547586	59013696	1
11413949	59006318	1
12417435	58998943	1
4694757	58842298	1
8980820	58987295	1
12314453	58985512	1
3277133	58967287	1
4430536	58939152	1
1497720	58955865	1
5231306	58957268	1
11079456	58952556	1
8568110	58950013	1
5868293	58932102	1
1497720	58927686	1
7320236	58926812	1
5703997	58921260	1
12313463	58902602	1
9976350	58088435	1
5687636	58888166	1
12100658	58887989	1
11003573	58872437	1
10885275	58856004	1
10365747	58869109	1
9281012	58850193	1
5491428	58843787	1
11363434	58837753	1
11633491	58823087	1
5391663	58817539	1
5391663	58818418	1
11511865	58815986	1
12358330	58810563	1
11906577	58804083	1
11463582	58813083	1
12352987	58794464	1
10365747	58810376	1
11909703	58803625	1
8797830	58797034	1
10313194	58791635	1
5313508	58791083	1
12282966	58789606	1
12261833	58786501	1
12282966	58788250	1
5703997	58757083	1
12225102	58778300	1
10332687	53862521	1
7932273	58747114	1
6428488	58742317	1
12026054	58724627	1
12331436	58728555	1
7930571	55898796	1
10262731	58724706	1
578204	58723781	1
11322052	58714703	1
990568	58715116	1
11964370	58664742	1
8201945	58700206	1
1692468	58690803	1
10885275	58689126	1
11776529	58686646	1
7149485	58677836	1
10537172	58674938	1
11227308	58645436	1
9869695	54592536	1
12134565	58634478	1
12281253	58633886	1
11322052	58633723	1
6043544	58511420	1
11956484	58628445	1
3270244	58627164	1
9834122	58617869	1
10896502	58511787	1
9057704	58611214	1
12292032	58610087	1
12277274	58595077	1
12287234	58597295	1
10719369	55068942	1
2293224	58599410	1
6043544	58547865	1
12288754	58599976	1
11744685	56905461	1
9161067	58579768	1
12134565	58577078	1
3130747	58573064	1
989185	58570239	1
12270780	58548312	1
10580461	58547174	1
5868293	58546302	1
5868293	58544262	1
8888469	58543938	1
3431964	58159146	1
5868293	58540812	1
5859808	58535331	1
4876561	58534012	1
6011149	58532124	1
6043544	58531424	1
10081864	58531273	1
2526657	29245848	1
1243255	58508145	1
5868293	58521393	1
11246230	58519636	1
1497720	58514810	1
8820330	58499641	1
8820330	58485809	1
12249994	58481735	1
11851719	58482144	1
1497720	58479855	1
1497720	58473572	1
9578831	58468185	1
12242218	58461802	1
3284746	58443864	1
12229568	58443205	1
6279751	58439860	1
6043544	58438483	1
2293224	58423707	1
2293224	58420868	1
6903126	58407620	1
12224105	58405879	1
8285831	58402755	1
10636733	58383195	1
8650115	58387669	1
10896502	58384178	1
1928522	58380548	1
9848572	58376427	1
5868293	58376541	1
11841670	58374012	1
1497720	58372104	1
1497720	58355972	1
3146365	58354692	1
1497720	58353728	1
1497720	58353594	1
10464003	58349352	1
11956484	58344478	1
9408112	58341441	1
8335171	58327706	1
12196221	58326956	1
9629771	58323827	1
11956484	58325597	1
2264225	47999393	1
2119941	58314135	1
1497720	58314101	1
6495480	58313201	1
10491430	58307902	1
1497720	58305385	1
5152914	54026597	1
11822295	58260489	1
12140563	58267386	1
12177976	58274259	1
1497720	58271828	1
11058050	58272873	1
6343355	58271323	1
1876739	58270340	1
2982094	58269978	1
9940344	58268118	1
490507	36606931	1
5487719	58262402	1
11653862	58255200	1
7758804	52124059	1
11536497	58243386	1
11992884	58236459	1
593450	58233238	1
12161849	58228212	1
9629771	58226486	1
6238676	58223192	1
1876739	58221217	1
11956484	58220907	1
12156660	58211121	1
7173956	58194748	1
10383617	58211780	1
11956484	58208517	1
5443574	58190953	1
5703997	58205008	1
8684435	57334052	1
9310528	57560303	1
334757	46307490	1
11956484	58170812	1
10136912	58169826	1
12054815	58170100	1
946137	58160461	1
5183031	58157138	1
12134565	58151934	1
11221612	55862255	1
6302796	58140637	1
4526288	58123687	1
4430536	58120922	1
11653862	58127963	1
4559989	58125534	1
6083404	58123993	1
11653862	58115169	1
10800593	58110440	1
946137	58110422	1
946137	58108302	1
4731770	58104355	1
7671519	58099873	1
11841670	58094601	1
946137	58092163	1
11529732	58073200	1
11198558	58072946	1
11165978	58057897	1
6800041	58027569	1
11853632	58024777	1
10443658	58003022	1
11135962	57991104	1
10458370	57984546	1
12063840	57926201	1
5231224	57969757	1
10443658	57959030	1
5212614	57011334	1
439621	57955306	1
11463582	57876117	1
11911984	57942068	1
1139541	57947934	1
3130747	57944166	1
8266189	57943504	1
9389773	57936218	1
3535695	57934970	1
8484261	57927269	1
10157833	57915873	1
11753555	57904817	1
10552640	57890705	1
5487719	57890614	1
12053216	57890478	1
3058703	57868833	1
10450242	57861437	1
12024038	57865968	1
10611339	57865331	1
9727789	57862525	1
10552640	57856922	1
11833086	57826027	1
6210239	57849801	1
9389773	57837067	1
9389773	57832477	1
5487719	57835829	1
5487719	57834853	1
11948485	57796125	1
11783776	57830030	1
10694466	53962844	1
5703997	57823371	1
10537237	57809625	1
12028888	57816825	1
5487719	57815539	1
12005616	57785042	1
5703997	57809720	1
9378830	57808417	1
12024595	57803412	1
6589617	50929841	1
11985525	57794387	1
12018686	57785258	1
3767239	57759351	1
3180386	57781702	1
9431573	57776752	1
9378830	57772638	1
9837354	51250600	1
11970440	57748771	1
11053294	57740548	1
11908896	57737396	1
9431573	57741176	1
4526288	57730227	1
12000031	57729398	1
10803986	57719955	1
3871499	57678624	1
7422143	57364299	1
1228481	57703538	1
415088	57702699	1
9431573	57701260	1
10647332	57698215	1
4150078	57693731	1
