Tags	OwnerReputation	OwnerId	OwnerUserType	OwnerAcceptRate	OwnerProfileImage	OwnerDisplayName	OwnerLink	IsAnswered	ViewCount	AcceptedAnswerId	AnswerCount	Score	LastActivityDate	CreationDate	LastEditDate	PostId	ParentId	Link	Title	PostTypeID
python;python-3.x;pandas	39	10130636	registered		https://i.stack.imgur.com/TytZk.jpg?s=128&g=1	sunil	https://stackoverflow.com/users/10130636/sunil	FALSE	15		1	0	1575756565	1575752692		59230202		https://stackoverflow.com/questions/59230202/code-is-saving-separate-text-file-can-we-use-pandas-dataframe-to-save-in-exce	"Code is saving separate text file, can we use pandas.dataframe() to save in excel in neat and clean format"	1
python;python-3.x;pandas	189	6225526	registered	71	https://www.gravatar.com/avatar/98dea12b9bf76d2f86f4965b09e19527?s=128&d=identicon&r=PG&f=1	Selva	https://stackoverflow.com/users/6225526/selva	TRUE	34		2	2	1575698841	1575694184		59223095		https://stackoverflow.com/questions/59223095/pandas-explode-index	Pandas explode index	1
python;python-3.x;pandas	13	7547385	registered		https://www.gravatar.com/avatar/32b6581efe0174fb4502a492d287ac93?s=128&d=identicon&r=PG&f=1	BlazingSasquatch	https://stackoverflow.com/users/7547385/blazingsasquatch	TRUE	40	59220659	2	0	1575668358	1575655970	1575664257	59218325		https://stackoverflow.com/questions/59218325/assigning-games-in-the-nfl-week-values	Assigning games in the NFL week values	1
python;python-3.x;pandas	136	11956484	registered		https://www.gravatar.com/avatar/4639a1db9ab445316f6194434a152973?s=128&d=identicon&r=PG&f=1	Gingerhaze	https://stackoverflow.com/users/11956484/gingerhaze	TRUE	23	59218508	1	0	1575656974	1575656468		59218416		https://stackoverflow.com/questions/59218416/subtract-values-in-column-from-values-in-other-column-if-value-in-other-is-not-n	Subtract values in column from values in other column if value in other is not nan and &gt; 0 else skip	1
python;python-3.x;pandas	17	7972788	registered	80	https://graph.facebook.com/1473918009293211/picture?type=large	Robert Dwyer	https://stackoverflow.com/users/7972788/robert-dwyer	TRUE	840	46815722	1	1	1575645851	1508292973	1575645851	46801833		https://stackoverflow.com/questions/46801833/filling-a-pandas-dataframe-with-items-from-a-list	Filling a pandas dataframe with items from a list	1
python;python-3.x;pandas	1174	9530105	registered		https://i.stack.imgur.com/FLoW1.jpg?s=128&g=1	sectechguy	https://stackoverflow.com/users/9530105/sectechguy	TRUE	43	59214934	1	1	1575642038	1549056102		54487293		https://stackoverflow.com/questions/54487293/pandas-how-to-set-the-date-as-the-index-and-is-it-a-good-idea	"Pandas How to set the date as the index, and is it a good idea?"	1
python;python-3.x;pandas	1	12417990	registered		https://graph.facebook.com/1252780908245778/picture?type=large	Tiago Fernandes	https://stackoverflow.com/users/12417990/tiago-fernandes	FALSE	18		0	0	1575635511	1575635511		59213226		https://stackoverflow.com/questions/59213226/similarity-of-data-with-multiple-panda-values	Similarity of data with multiple panda values	1
python;python-3.x;pandas	185	11578327	registered		https://www.gravatar.com/avatar/4e688087383538caccb7c4036c5ba8da?s=128&d=identicon&r=PG&f=1	loveR	https://stackoverflow.com/users/11578327/lover	TRUE	32	59212274	1	0	1575632845	1575631429		59212193		https://stackoverflow.com/questions/59212193/python-pandas-dataframe-color-the-text-as-red-green-or-black-in-column-based-on	"python pandas dataframe color the text as red, green or black in column based on the condition from the other column"	1
python;python-3.x;pandas	43	4872347	registered		https://www.gravatar.com/avatar/df02a6a48522aba6cc58ff3b107ae84e?s=128&d=identicon&r=PG&f=1	gm0203	https://stackoverflow.com/users/4872347/gm0203	TRUE	27	59200219	1	1	1575566645	1575564753	1575564836	59199841		https://stackoverflow.com/questions/59199841/mapping-names-to-codes-contained-in-lists-of-lists	Mapping names to codes contained in lists of lists	1
python;python-3.x;pandas	142	11608340	registered		https://graph.facebook.com/1723559401123231/picture?type=large	Rafael Ferreira	https://stackoverflow.com/users/11608340/rafael-ferreira	TRUE	18	59200081	1	0	1575565606	1575565334		59199998		https://stackoverflow.com/questions/59199998/merging-data-frame-with-mix-data	Merging Data Frame with mix Data	1
python;python-3.x;pandas	1	12369529	registered		https://i.stack.imgur.com/5aMsB.jpg?s=128&g=1	chyfil	https://stackoverflow.com/users/12369529/chyfil	FALSE	23		1	-1	1575498405	1575490051	1575498405	59183932		https://stackoverflow.com/questions/59183932/preserve-leading-zeros-using-pandas-to-csv	Preserve leading zeros using pandas to_csv	1
python;python-3.x;pandas	33	12390973	registered		https://lh3.googleusercontent.com/a-/AAuE7mD-NN2tavgYOublHIAVEvkePHxTd3yPbHprGoXqIkI=k-s128	nipun vats	https://stackoverflow.com/users/12390973/nipun-vats	TRUE	33	59176290	1	1	1575473748	1575462789	1575473748	59176171		https://stackoverflow.com/questions/59176171/how-to-create-an-excel-file-which-contain-only-the-result-using-pandas	How to create an Excel file which contain only the result using Pandas?	1
python;python-3.x;pandas	57	11058050	registered		https://lh4.googleusercontent.com/-lpWHB89OIOs/AAAAAAAAAAI/AAAAAAAAGRw/B-gGh5kZ_7E/photo.jpg?sz=128	SkuPak	https://stackoverflow.com/users/11058050/skupak	FALSE	16		0	-1	1575460952	1575460952		59175607		https://stackoverflow.com/questions/59175607/groupby-and-filter-most-recent-date	groupby and filter most recent date	1
python;python-3.x;pandas	39	11069741	registered		https://www.gravatar.com/avatar/34f1d02964cca2c6eeb5b42a6d002bc4?s=128&d=identicon&r=PG&f=1	Sebasti&#225;n	https://stackoverflow.com/users/11069741/sebasti%c3%a1n	TRUE	45	59172557	1	1	1575451166	1575436664	1575444454	59169367		https://stackoverflow.com/questions/59169367/filtering-excel-data-to-another-excel-with-pandas	Filtering excel data to another excel with pandas	1
python;python-3.x;pandas	1456	3967806	registered	43	https://www.gravatar.com/avatar/a9af47ca60fc2cfa1303a337a625265c?s=128&d=identicon&r=PG&f=1	Alex Kinman	https://stackoverflow.com/users/3967806/alex-kinman	FALSE	31		0	-1	1575446680	1575446680		59171435		https://stackoverflow.com/questions/59171435/replace-specific-strings-in-a-pandas-df-with-a-corresponding-number	Replace specific strings in a pandas df with a corresponding number?	1
